Employee_ID,First_Name,Last_Name,Department,Job_Title,Manager,Gender,Date_of_Birth,Date_of_Joining,Employment_Type,Contact_Number,Email,Address,City,Country,Status
EMP3401,Robert,Richardson,Operations,Coordinator,Christian Francis,Female,1984-08-13,2016-10-17,Full-time,(233)905-3222,adambarber@hotmail.com,"2933 Moore Tunnel, Allenberg, WA 57508",Port Rachel,Ukraine,Active
EMP6822,Amanda,Johnson,Finance,Coordinator,Alan Johnson,Male,2000-07-01,2014-04-18,Full-time,576-060-6312x054,jvelasquez@hotmail.com,"2914 Jeffery Knoll, Tapiafurt, NV 52397",East Natalie,Papua New Guinea,Inactive
EMP3631,Christine,Coleman,HR,Assistant,Shane Lewis,Female,2000-02-29,2015-02-25,Part-time,096.971.7508x2192,stonenoah@hotmail.com,"27628 Liu Glen Apt. 276, East Tammy, RI 98277",Port Coreychester,Kiribati,Active
EMP5759,Roberta,Johnson,Sales,Analyst,Cristian Johnson,Female,1983-09-19,2015-10-06,Contract,314.293.0741x18933,donna00@barrett.net,"041 Paula Drives, West Michelleborough, NJ 37448",Gregoryburgh,Azerbaijan,Inactive
EMP3558,Allison,Cruz,Finance,Analyst,Amy Powell,Male,1994-03-08,2010-07-12,Full-time,+1-671-264-3461x37354,pellis@woodard.com,"20875 Robert Island, Lake Micheal, ND 77764",North Megan,Estonia,Active
EMP2933,Samantha,Miller,Finance,Executive,Christopher Hale,Female,1987-03-29,2015-10-09,Contract,836.453.2694x7354,hneal@yahoo.com,"934 Murray Parkways, West John, IL 12863",Jennifershire,Belgium,Active
EMP9191,Crystal,Walker,IT,Manager,Kelly Lee,Male,1993-07-19,2019-12-31,Part-time,(681)279-6148x514,ehunter@murray-thompson.net,"9119 Anderson Radial, Jonathanstad, NE 25312",East Susanshire,Ireland,Inactive
EMP8625,Bobby,Heath,Marketing,Coordinator,Nathan Phillips,Female,1973-04-24,2018-06-22,Full-time,(276)426-8556x70925,charles29@fields.org,"3243 Carrillo Island, West Anna, TN 64214",Jaclynport,Greenland,Inactive
EMP5092,Beth,Munoz,HR,Executive,Dr. Dylan Brown,Female,1994-03-15,2011-12-17,Part-time,0631496795,zacharymiller@fuller.biz,"Unit 6570 Box 4772, DPO AA 36342",Lake Calvin,Cocos (Keeling) Islands,Inactive
EMP2970,Nicholas,Riley,IT,Analyst,Joseph Simpson,Female,1984-03-01,2016-12-11,Contract,001-439-272-4889x2332,yolandagibson@hotmail.com,"49112 Jones Divide, South Jared, SD 47686",Smithside,Nigeria,Active
EMP9782,Julie,Harvey,Operations,Executive,Andrew Kent,Female,1994-04-20,2012-05-20,Part-time,001-743-431-2244x8936,wfloyd@travis.com,"USS Cervantes, FPO AP 45214",South William,Somalia,Active
EMP1528,Michael,Boyd,Finance,Assistant,Teresa Simmons,Female,1995-07-25,2019-11-28,Full-time,785.493.8967x378,iprice@ruiz.com,"854 Hartman Place Suite 334, Reynoldsburgh, AR 27451",Matthewberg,Macedonia,Active
EMP5424,Kenneth,White,Sales,Analyst,Daniel Gonzalez,Female,1997-04-19,2012-04-11,Part-time,+1-546-548-6404x19698,rebeccaharrison@gmail.com,"3816 Tran Causeway, Port Christopherhaven, MD 99385",Nathanielview,Ukraine,Inactive
EMP8724,Kyle,Butler,HR,Manager,Jennifer Brown,Male,1986-11-02,2015-07-22,Part-time,+1-597-349-8305,robert06@english.info,"853 Todd Park, Pattersonborough, ID 52180",Bushberg,Iran,Inactive
EMP6373,Adam,Taylor,IT,Executive,Ronnie Buchanan,Female,1989-11-29,2016-01-31,Part-time,+1-936-995-6667x151,dominichuffman@meadows.com,"976 Adam Harbors, Benjaminburgh, NJ 03608",South Cynthiachester,Singapore,Active
EMP4590,Victoria,Jensen,HR,Analyst,Erik Williams,Male,1997-09-08,2017-02-22,Contract,(909)921-6081,susananderson@gmail.com,"14492 James Prairie, East Nancyton, WV 63708",South Jackbury,Cote d'Ivoire,Inactive
